,por_School_name,por_Gender,por_Age,por_Address,por_Family_size,por_Pstatus ,por_mother_education,por_father_education,por_mother_job,por_father_job,por_school_choice_reason,por_student_guardian,por_home_to_school_travel_time,por_weekly_study_time,por_past_class_failures,por_extra_educational_support,por_family_educational_support,por_extra_paid_classes,por_extra_curricular_activities,por_attended_nursery_school,por_wants_higher_education,por_internet_access_at_home,por_romantic_relationship,por_quality_of_family_relationships,por_free_time_after_school,por_going_out_with_friends,por_workday_alcohol_consumption,por_weekend_alcohol_consumption,por_current_health_status,por_number_of_school_absences,por_first_period_grade,por_second_period_grade,por_final_grade
18,Gabriel Pereira,Male,17,Urban,greater than 3,living together,3,2,services,services,course,mother,1,1,3,no,yes,yes,yes,yes,yes,yes,no,5,5,5,2,4,5,2,8,8,7
19,Gabriel Pereira,Male,16,Urban,equal to 3,living together,4,3,health,other,home,father,1,1,0,no,no,no,yes,yes,yes,yes,no,3,1,3,1,3,5,6,12,12,12
20,Gabriel Pereira,Male,15,Urban,greater than 3,living together,4,3,teacher,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0,12,13,14
21,Gabriel Pereira,Male,15,Urban,greater than 3,living together,4,4,health,health,other,father,1,1,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0,11,12,12
22,Gabriel Pereira,Male,16,Urban,equal to 3,living together,4,2,teacher,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,0,12,13,14
23,Gabriel Pereira,Male,16,Urban,equal to 3,living together,2,2,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,2,10,10,10
24,Gabriel Pereira,Female,15,Rural,greater than 3,living together,2,4,services,health,course,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,10,11,10
25,Gabriel Pereira,Female,16,Urban,greater than 3,living together,2,2,services,services,home,mother,1,1,0,no,yes,no,no,no,yes,yes,no,1,2,2,1,3,5,6,10,11,12
26,Gabriel Pereira,Male,15,Urban,greater than 3,living together,2,2,other,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,2,2,1,2,5,8,11,12,12
27,Gabriel Pereira,Male,15,Urban,greater than 3,living together,4,2,health,services,other,mother,1,1,0,no,no,no,no,yes,yes,yes,no,2,2,4,2,4,1,0,11,11,11
28,Gabriel Pereira,Male,16,Urban,equal to 3,Apart,3,4,services,other,home,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,5,2,12,12,13
29,Gabriel Pereira,Male,16,Urban,greater than 3,living together,4,4,teacher,teacher,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,4,12,11,12
30,Gabriel Pereira,Male,15,Urban,greater than 3,living together,4,4,health,services,home,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,0,10,11,11
31,Gabriel Pereira,Male,15,Urban,greater than 3,living together,4,4,services,services,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,2,15,15,15
32,Gabriel Pereira,Male,15,Rural,greater than 3,living together,4,3,teacher,at_home,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,5,2,1,1,5,0,13,14,15
33,Gabriel Pereira,Male,15,Urban,equal to 3,living together,3,3,other,other,course,mother,1,2,0,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,0,13,12,12
34,Gabriel Pereira,Male,16,Urban,greater than 3,living together,3,2,other,other,home,mother,1,1,0,no,yes,no,no,no,yes,yes,no,5,4,3,1,1,5,4,12,12,12
35,Gabriel Pereira,Female,15,Urban,greater than 3,living together,2,3,other,other,other,father,2,1,0,no,yes,no,yes,yes,yes,no,no,3,5,1,1,1,5,4,11,11,11
36,Gabriel Pereira,Male,15,Urban,equal to 3,living together,4,3,teacher,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,4,0,14,14,14
37,Gabriel Pereira,Male,16,Rural,greater than 3,Apart,4,4,other,teacher,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,yes,2,4,3,1,1,5,4,13,13,13
38,Gabriel Pereira,Female,15,Rural,greater than 3,living together,3,4,services,health,course,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,11,12,12
39,Gabriel Pereira,Female,15,Rural,greater than 3,living together,2,2,at_home,other,reputation,mother,1,1,0,yes,yes,no,yes,yes,yes,no,no,4,3,1,1,1,2,8,14,13,12
40,Gabriel Pereira,Female,16,Urban,equal to 3,living together,2,2,other,other,home,mother,2,2,0,no,yes,no,yes,no,yes,yes,yes,3,3,3,1,2,3,16,11,11,10
41,Gabriel Pereira,Male,15,Urban,equal to 3,living together,4,4,teacher,other,home,other,1,1,0,no,yes,no,no,no,yes,yes,yes,5,4,3,2,4,5,8,10,11,11
42,Gabriel Pereira,Male,15,Urban,greater than 3,living together,4,4,services,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,0,14,15,15
43,Gabriel Pereira,Male,15,Urban,greater than 3,living together,2,2,services,services,course,father,1,1,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,1,0,9,10,10
44,Gabriel Pereira,Female,16,Urban,equal to 3,living together,2,2,other,at_home,course,father,2,2,1,yes,no,no,yes,yes,yes,yes,no,4,3,3,2,2,5,14,10,11,11
45,Gabriel Pereira,Female,15,Urban,equal to 3,Apart,4,3,other,other,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,4,10,11,11
46,Gabriel Pereira,Female,16,Urban,equal to 3,Apart,3,3,other,services,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,3,5,1,4,3,6,13,12,13
47,Gabriel Pereira,Male,16,Urban,greater than 3,living together,4,3,health,services,reputation,mother,1,4,0,no,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,2,17,17,17
48,Gabriel Pereira,Male,15,Urban,greater than 3,living together,4,2,teacher,other,home,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,3,2,2,5,4,11,12,13
49,Gabriel Pereira,Female,15,Urban,greater than 3,living together,4,4,services,teacher,other,father,1,2,0,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,1,3,2,13,12,12
50,Gabriel Pereira,Female,16,Urban,equal to 3,living together,2,2,services,services,course,mother,3,2,0,no,yes,no,no,yes,yes,yes,no,4,3,3,2,3,4,0,14,13,13
51,Gabriel Pereira,Female,15,Urban,equal to 3,living together,4,2,health,other,other,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,3,1,1,5,0,16,14,16
52,Gabriel Pereira,Male,15,Urban,equal to 3,Apart,4,2,health,health,other,father,2,1,0,no,no,no,no,yes,yes,no,no,5,5,5,3,4,5,4,10,9,9
53,Gabriel Pereira,Female,15,Urban,greater than 3,living together,4,4,services,services,course,mother,1,1,0,yes,yes,no,no,yes,yes,yes,no,3,3,4,2,3,5,0,13,12,12
54,Gabriel Pereira,Female,15,Urban,equal to 3,Apart,3,3,other,other,other,mother,1,1,0,no,no,no,no,yes,yes,yes,no,5,3,4,4,4,1,0,13,12,13
55,Gabriel Pereira,Female,16,Urban,greater than 3,Apart,2,1,other,other,other,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,3,4,1,1,2,2,12,13,12
56,Gabriel Pereira,Female,15,Urban,greater than 3,Apart,4,3,services,services,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,1,0,15,14,15
57,Gabriel Pereira,Male,15,Urban,greater than 3,living together,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,5,8,15,15,16
58,Gabriel Pereira,Male,15,Urban,equal to 3,living together,1,2,other,at_home,home,father,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,0,14,13,14
59,Gabriel Pereira,Female,16,Urban,greater than 3,living together,4,2,services,other,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,2,3,1,1,5,2,16,15,16
60,Gabriel Pereira,Female,16,Rural,greater than 3,living together,4,4,health,teacher,other,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,2,4,4,2,3,4,0,17,16,16
61,Gabriel Pereira,Female,16,Urban,greater than 3,living together,1,1,services,services,course,father,4,1,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,5,5,0,10,10,16
62,Gabriel Pereira,Female,16,Urban,equal to 3,living together,1,2,other,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,1,1,0,13,13,10
63,Gabriel Pereira,Female,16,Urban,greater than 3,living together,4,3,teacher,health,home,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,no,3,4,4,2,4,4,0,14,13,13
64,Gabriel Pereira,Female,15,Urban,equal to 3,living together,4,3,services,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,0,13,12,12
65,Gabriel Pereira,Female,16,Urban,equal to 3,living together,4,3,teacher,services,course,mother,3,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,1,2,16,15,16
66,Gabriel Pereira,Male,15,Urban,greater than 3,Apart,4,4,other,services,reputation,mother,1,4,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,5,5,3,0,11,12,12
67,Gabriel Pereira,Female,16,Urban,greater than 3,living together,3,1,services,other,course,mother,1,4,0,yes,yes,no,no,yes,yes,yes,no,4,3,3,1,2,5,0,10,9,10
68,Gabriel Pereira,Female,15,Rural,equal to 3,living together,2,2,health,services,reputation,mother,2,2,0,yes,yes,no,no,yes,yes,yes,no,4,1,3,1,3,4,0,11,10,11
69,Gabriel Pereira,Female,15,Rural,equal to 3,living together,3,1,other,other,reputation,father,2,4,0,no,yes,no,no,no,yes,yes,no,4,4,2,2,3,3,6,15,15,15
70,Gabriel Pereira,Male,16,Urban,greater than 3,living together,3,1,other,other,reputation,father,2,4,0,no,yes,no,no,yes,yes,yes,no,4,3,2,1,1,5,2,13,11,11
71,Gabriel Pereira,Male,15,Urban,greater than 3,living together,4,2,other,other,course,mother,1,4,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,0,11,9,10
72,Gabriel Pereira,Female,15,Rural,greater than 3,living together,1,1,other,other,reputation,mother,1,2,0,yes,yes,no,no,no,yes,yes,yes,3,3,4,2,4,5,2,13,11,11
73,Gabriel Pereira,Male,16,Urban,greater than 3,living together,3,1,other,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,0,13,13,14
74,Gabriel Pereira,Female,16,Urban,greater than 3,living together,3,3,other,services,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,3,2,4,5,4,11,11,11
75,Gabriel Pereira,Male,15,Urban,greater than 3,living together,4,3,teacher,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,2,3,5,0,11,11,11
76,Gabriel Pereira,Male,15,Urban,greater than 3,living together,4,0,teacher,other,course,mother,2,4,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,0,12,11,11
77,Gabriel Pereira,Female,16,Urban,greater than 3,living together,2,2,other,other,reputation,mother,1,4,0,no,no,no,no,yes,yes,yes,yes,5,2,3,1,3,3,1,13,13,13
78,Gabriel Pereira,Male,17,Urban,greater than 3,living together,2,1,other,other,home,mother,2,1,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,1,1,3,0,9,9,10
79,Gabriel Pereira,Female,16,Urban,greater than 3,living together,3,4,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,4,3,1,2,3,14,12,11,11
80,Gabriel Pereira,Male,15,Urban,greater than 3,living together,2,3,other,services,course,father,1,1,0,yes,yes,no,yes,no,yes,yes,yes,3,2,2,1,3,3,0,11,11,12
81,Gabriel Pereira,Male,15,Urban,greater than 3,living together,2,3,other,other,home,mother,1,3,0,yes,no,no,no,no,yes,yes,no,5,3,2,1,2,5,2,10,9,9
82,Gabriel Pereira,Female,15,Urban,equal to 3,living together,3,2,services,other,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,1,5,4,12,11,11
83,Gabriel Pereira,Male,15,Urban,equal to 3,living together,2,2,services,services,home,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,5,3,3,1,3,4,2,13,12,13
84,Gabriel Pereira,Female,15,Urban,greater than 3,living together,1,1,other,other,home,father,1,2,0,no,yes,no,yes,no,yes,yes,no,4,3,2,2,3,4,2,13,12,12
85,Gabriel Pereira,Female,15,Urban,greater than 3,living together,4,4,services,services,reputation,father,2,2,0,no,no,no,no,yes,yes,yes,yes,4,4,4,2,3,5,4,12,11,12
86,Gabriel Pereira,Female,16,Urban,equal to 3,living together,2,2,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,4,1,2,2,6,13,11,11
87,Gabriel Pereira,Female,15,Urban,greater than 3,living together,4,2,other,other,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,1,4,15,15,15
88,Gabriel Pereira,Male,16,Urban,greater than 3,living together,2,2,services,other,reputation,father,2,2,0,no,no,no,yes,no,yes,yes,no,4,4,2,1,1,3,6,12,10,11
89,Gabriel Pereira,Male,16,Urban,equal to 3,Apart,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,1,3,3,5,5,6,9,9,10
90,Gabriel Pereira,Female,16,Urban,greater than 3,living together,3,3,other,other,home,mother,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,3,3,1,3,4,2,9,11,11
91,Gabriel Pereira,Female,15,Urban,greater than 3,living together,4,3,services,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,4,5,5,1,3,1,6,14,13,13
92,Gabriel Pereira,Female,16,Urban,equal to 3,living together,3,1,other,other,home,father,1,2,0,yes,yes,no,no,yes,yes,no,no,3,3,3,2,3,2,0,12,13,12
93,Gabriel Pereira,Female,16,Urban,greater than 3,living together,4,2,teacher,services,home,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,1,2,13,14,14
94,Gabriel Pereira,Male,15,Urban,equal to 3,living together,2,2,services,health,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,yes,no,4,3,4,1,1,4,2,11,12,12
95,Gabriel Pereira,Female,15,Rural,greater than 3,living together,1,1,at_home,other,home,mother,2,4,0,yes,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,4,13,13,13
96,Gabriel Pereira,Male,16,Rural,greater than 3,living together,4,3,services,other,reputation,mother,2,1,0,yes,yes,yes,yes,no,yes,yes,no,3,3,3,1,1,4,6,9,11,11
97,Gabriel Pereira,Female,16,Urban,greater than 3,living together,2,1,other,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,yes,4,3,5,1,1,5,0,13,12,12
98,Gabriel Pereira,Female,16,Urban,greater than 3,living together,4,4,other,other,reputation,mother,1,1,0,no,no,no,yes,no,yes,yes,no,5,3,4,1,2,1,4,12,13,13
99,Gabriel Pereira,Female,16,Urban,greater than 3,living together,4,3,other,at_home,course,mother,1,3,0,yes,yes,no,no,yes,yes,yes,no,5,3,5,1,1,3,2,12,13,13
100,Gabriel Pereira,Male,16,Urban,greater than 3,living together,4,4,services,services,other,mother,1,1,0,yes,yes,no,yes,yes,yes,yes,no,4,5,5,5,5,4,12,9,9,8
101,Gabriel Pereira,Male,16,Urban,greater than 3,living together,4,4,services,teacher,other,father,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,1,1,4,0,16,16,16
102,Gabriel Pereira,Male,15,Urban,greater than 3,living together,4,4,services,other,course,mother,1,1,0,no,yes,yes,yes,no,yes,yes,no,5,3,3,1,1,5,2,12,13,12
103,Gabriel Pereira,Female,15,Urban,greater than 3,living together,3,2,services,other,home,mother,2,2,0,yes,yes,no,no,yes,yes,yes,no,4,3,5,1,1,2,16,11,10,10
104,Gabriel Pereira,Male,15,Urban,greater than 3,Apart,3,4,services,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,1,1,1,0,16,16,16
105,Gabriel Pereira,Female,15,Urban,greater than 3,Apart,3,3,other,health,reputation,father,1,4,0,yes,no,no,no,yes,yes,no,no,4,3,3,1,1,4,10,10,10,10
106,Gabriel Pereira,Female,15,Urban,greater than 3,living together,2,2,other,other,course,mother,1,4,0,yes,yes,no,no,yes,yes,yes,no,5,1,2,1,1,3,4,10,10,10
107,Gabriel Pereira,Male,16,Urban,greater than 3,living together,3,3,services,other,home,father,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,4,13,14,14
108,Gabriel Pereira,Male,15,Rural,greater than 3,living together,4,4,other,other,home,father,4,4,0,no,yes,no,yes,yes,yes,yes,yes,1,3,5,3,5,1,8,12,10,11
109,Gabriel Pereira,Female,16,Urban,equal to 3,living together,4,4,health,health,other,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,5,4,5,1,1,4,2,15,15,14
110,Gabriel Pereira,Male,15,Urban,equal to 3,Apart,4,4,teacher,teacher,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,5,5,3,1,1,4,4,13,14,14
111,Gabriel Pereira,Female,16,Rural,greater than 3,living together,3,3,services,other,reputation,father,1,3,0,yes,yes,no,yes,yes,yes,yes,no,4,1,2,1,1,2,4,11,11,11
112,Gabriel Pereira,Female,16,Urban,greater than 3,living together,2,2,at_home,other,home,mother,1,2,1,yes,no,no,yes,yes,yes,yes,no,3,1,2,1,1,5,12,8,10,10
113,Gabriel Pereira,Male,15,Urban,equal to 3,living together,4,2,teacher,other,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,3,5,2,1,1,3,10,18,17,18
114,Gabriel Pereira,Male,15,Rural,greater than 3,living together,2,1,health,services,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,4,2,1,1,5,4,10,9,10
115,Gabriel Pereira,Male,16,Urban,greater than 3,living together,4,4,teacher,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,1,2,5,6,16,14,14
116,Gabriel Pereira,Male,15,Urban,greater than 3,living together,4,4,other,teacher,reputation,father,2,2,0,no,yes,no,yes,yes,yes,no,no,4,4,3,1,1,2,4,16,15,16
117,Gabriel Pereira,Male,16,Urban,greater than 3,living together,3,3,other,services,home,father,2,1,0,no,no,no,yes,yes,yes,yes,no,5,4,2,1,1,5,6,14,14,15
118,Gabriel Pereira,Male,17,Rural,greater than 3,living together,1,3,other,other,course,father,3,2,1,no,yes,no,yes,yes,yes,yes,no,5,2,4,1,4,5,14,12,11,11
119,Gabriel Pereira,Male,15,Urban,greater than 3,living together,3,4,other,other,reputation,father,1,1,0,no,no,no,no,yes,yes,yes,no,3,4,3,1,2,4,2,14,13,14
120,Gabriel Pereira,Female,15,Urban,greater than 3,living together,1,2,at_home,services,course,mother,1,2,0,no,no,no,no,no,yes,yes,no,3,2,3,1,2,1,0,14,14,14
121,Gabriel Pereira,Male,15,Urban,greater than 3,living together,2,2,services,services,home,father,1,4,0,no,yes,no,yes,yes,yes,yes,no,5,5,4,1,2,5,6,14,13,13
122,Gabriel Pereira,Female,16,Urban,equal to 3,living together,2,4,other,health,course,father,2,2,0,no,yes,no,yes,yes,yes,yes,yes,4,2,2,1,2,5,2,14,12,13
123,Gabriel Pereira,Male,16,Urban,greater than 3,living together,4,4,health,other,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,3,4,4,1,4,5,4,12,13,13
124,Gabriel Pereira,Female,16,Urban,greater than 3,living together,2,2,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,yes,5,4,4,1,1,5,0,12,11,11
125,Gabriel Pereira,Male,15,Urban,greater than 3,living together,3,4,services,services,home,father,1,1,0,yes,no,no,no,yes,yes,yes,no,5,5,5,3,2,5,2,9,9,9
126,Gabriel Pereira,Female,15,Urban,equal to 3,Apart,3,4,other,other,home,mother,1,2,0,yes,no,no,yes,yes,yes,yes,yes,5,3,2,1,1,1,0,10,11,11
127,Gabriel Pereira,Female,19,Urban,greater than 3,living together,0,1,at_home,other,course,other,1,2,2,no,yes,no,no,no,no,no,no,3,4,2,1,1,5,0,9,10,11
128,Gabriel Pereira,Male,16,Rural,greater than 3,living together,4,4,teacher,teacher,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,3,5,5,2,5,4,8,14,14,15
129,Gabriel Pereira,Male,16,Urban,greater than 3,living together,2,3,other,other,course,mother,2,3,0,no,yes,no,no,no,yes,yes,yes,3,2,3,2,2,1,4,13,12,13
130,Gabriel Pereira,Female,15,Rural,greater than 3,living together,3,4,services,teacher,course,father,2,3,0,no,yes,no,no,yes,yes,yes,yes,4,2,2,2,2,5,0,10,11,12
131,Gabriel Pereira,Female,18,Urban,greater than 3,living together,2,1,services,other,reputation,mother,1,2,3,no,yes,no,yes,yes,no,yes,yes,5,4,5,1,3,5,10,10,9,8
132,Gabriel Pereira,Female,17,Urban,equal to 3,Apart,2,1,other,other,course,mother,3,1,0,no,yes,no,no,yes,yes,yes,no,3,2,2,1,2,5,8,11,10,11
133,Gabriel Pereira,Female,15,Urban,greater than 3,living together,1,1,at_home,other,course,mother,3,1,0,no,yes,no,yes,no,yes,yes,yes,4,3,3,1,2,4,6,11,12,13
134,Gabriel Pereira,Female,17,Urban,equal to 3,living together,2,2,other,other,course,father,1,1,0,no,yes,no,no,yes,yes,yes,yes,3,4,4,1,3,5,2,13,12,12
135,Gabriel Pereira,Female,16,Urban,greater than 3,Apart,3,4,services,other,course,father,1,1,0,no,no,no,no,yes,yes,yes,no,3,2,1,1,4,5,12,15,13,14
136,Gabriel Pereira,Male,16,Urban,greater than 3,living together,2,1,at_home,other,course,mother,4,1,0,no,no,no,no,yes,yes,no,no,3,2,1,1,1,2,4,9,9,11
137,Gabriel Pereira,Female,16,Urban,greater than 3,Apart,2,2,other,other,home,mother,1,1,1,no,no,no,no,yes,yes,no,no,5,3,4,1,1,5,12,13,11,11
138,Gabriel Pereira,Male,15,Rural,greater than 3,living together,3,4,at_home,teacher,course,mother,4,2,0,no,yes,no,no,yes,yes,no,yes,5,3,3,1,1,5,2,12,11,11
139,Gabriel Pereira,Female,15,Urban,greater than 3,living together,4,4,services,at_home,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,3,3,1,1,5,4,13,14,15
140,Gabriel Pereira,Male,17,Rural,greater than 3,living together,3,4,at_home,other,course,mother,3,2,0,no,no,no,no,yes,yes,no,no,5,4,5,2,4,5,2,10,9,10
141,Gabriel Pereira,Female,16,Rural,greater than 3,living together,1,1,at_home,other,course,mother,4,2,0,no,yes,no,no,yes,yes,no,no,5,1,3,1,1,3,0,14,13,13
142,Gabriel Pereira,Male,18,Urban,equal to 3,living together,3,1,services,services,course,mother,2,1,0,no,no,no,yes,yes,yes,yes,yes,3,3,4,4,5,4,2,11,11,12
143,Gabriel Pereira,Female,18,Urban,greater than 3,Apart,3,2,other,services,course,other,1,3,0,no,yes,no,yes,no,yes,yes,yes,4,3,3,5,1,5,10,12,11,11
144,Gabriel Pereira,Female,16,Rural,greater than 3,living together,1,1,other,services,reputation,mother,2,1,0,no,yes,no,yes,yes,yes,no,yes,3,3,3,1,2,1,8,12,11,11
145,Gabriel Pereira,Female,16,Urban,greater than 3,Apart,3,3,other,other,course,other,2,1,0,no,yes,no,yes,no,yes,yes,yes,4,3,2,1,1,5,4,9,9,10
146,Gabriel Pereira,Male,16,Urban,equal to 3,living together,1,1,services,other,course,mother,1,2,2,no,no,no,no,yes,yes,no,yes,4,4,4,1,3,5,0,10,10,10
